x,y,p1,p2
107.8080661,177.6006822,0.808066093,0.710735562
112.5405585,196.7237969,0.540558529,0.638084899
117.273051,215.8469116,0.273050966,0.565434236
122.0055434,234.9700263,0.005543403,0.492783573
126.7380358,254.0931409,0.73803584,0.420132909
131.4705283,273.2162556,0.470528277,0.347482246
136.2030207,292.3393703,0.203020713,0.274831583
140.9355132,311.462485,0.93551315,0.20218092
145.6680056,330.5855997,0.668005587,0.129530257
150.400498,349.7087144,0.400498024,0.056879594
155.1329905,368.8318291,0.132990461,0.984228931
159.8654829,387.9549438,0.865482897,0.911578268
164.5979753,407.0780584,0.597975334,0.838927605
169.3304678,426.2011731,0.330467771,0.766276942
174.0629602,445.3242878,0.062960208,0.693626279
178.7954526,464.4474025,0.795452645,0.620975615
183.5279451,483.5705172,0.527945081,0.548324952
188.2604375,502.6936319,0.260437518,0.475674289
192.99293,521.8167466,0.992929955,0.403023626
197.7254224,540.9398613,0.725422392,0.330372963
202.4579148,560.0629759,0.457914829,0.2577223
207.1904073,579.1860906,0.190407266,0.185071637
211.9228997,598.3092053,0.922899702,0.112420974
216.6553921,617.43232,0.655392139,0.039770311
221.3878846,636.5554347,0.387884576,0.967119648
226.120377,655.6785494,0.120377013,0.894468984
230.8528694,674.8016641,0.85286945,0.821818321
235.5853619,693.9247788,0.585361886,0.749167658
240.3178543,713.0478934,0.317854323,0.676516995
245.0503468,732.1710081,0.05034676,0.603866332
249.7828392,751.2941228,0.782839197,0.531215669
254.5153316,770.4172375,0.515331634,0.458565006
259.2478241,789.5403522,0.24782407,0.385914343
263.9803165,808.6634669,0.980316507,0.31326368
268.7128089,827.7865816,0.712808944,0.240613017
273.4453014,846.9096962,0.445301381,0.167962354
278.1777938,866.0328109,0.177793818,0.09531169
282.9102863,885.1559256,0.910286254,0.022661027
287.6427787,904.2790403,0.642778691,0.950010364
292.3752711,923.402155,0.375271128,0.877359701
297.1077636,942.5252697,0.107763565,0.804709038
72.57977007,-16.3565576,0.57977007,0.124690631
77.31226251,2.766557083,0.312262506,0.052039968
82.04475494,21.88967177,0.044754943,0.979389305
86.77724738,41.01278646,0.77724738,0.906738642
