x,y,p1,p2
224.440563,487.1486018,0.440562987,0.103346051
229.6985222,503.5252273,0.698522232,0.914899433
234.9564815,519.9018529,0.956481478,0.726452814
240.2144407,536.2784784,0.214440723,0.538006196
245.4724,552.655104,0.472399969,0.349559578
250.7303592,569.0317296,0.730359214,0.161112959
255.9883185,585.4083551,0.988318459,0.972666341
261.2462777,601.7849807,0.246277705,0.784219723
266.504237,618.1616062,0.50423695,0.595773105
271.7621962,634.5382318,0.762196195,0.407326486
277.0201554,650.9148573,0.020155441,0.218879868
282.2781147,667.2914829,0.278114686,0.03043325
287.5360739,683.6681084,0.536073931,0.841986632
292.7940332,700.044734,0.794033177,0.653540013
298.0519924,716.4213595,0.051992422,0.465093395
303.3099517,732.7979851,0.309951668,0.276646777
308.5679109,749.1746107,0.567910913,0.088200158
313.8258702,765.5512362,0.825870158,0.89975354
319.0838294,781.9278618,0.083829404,0.711306922
324.3417886,798.3044873,0.341788649,0.522860304
329.5997479,814.6811129,0.599747894,0.334413685
80.94018696,-6.892048801,0.94018696,0.501404134
86.19814621,9.484576754,0.198146206,0.312957516
91.45610545,25.86120231,0.456105451,0.124510898
96.7140647,42.23782786,0.714064696,0.93606428
101.9720239,58.61445342,0.972023942,0.747617661
107.2299832,74.99107897,0.229983187,0.559171043
112.4879424,91.36770453,0.487942432,0.370724425
117.7459017,107.7443301,0.745901678,0.182277806
123.0038609,124.1209556,0.003860923,0.993831188
128.2618202,140.4975812,0.261820169,0.80538457
133.5197794,156.8742068,0.519779414,0.616937952
138.7777387,173.2508323,0.777738659,0.428491333
144.0356979,189.6274579,0.035697905,0.240044715
149.2936571,206.0040834,0.29365715,0.051598097
154.5516164,222.380709,0.551616395,0.863151479
159.8095756,238.7573345,0.809575641,0.67470486
165.0675349,255.1339601,0.067534886,0.486258242
170.3254941,271.5105856,0.325494131,0.297811624
175.5834534,287.8872112,0.583453377,0.109365005
180.8414126,304.2638367,0.841412622,0.920918387
186.0993719,320.6404623,0.099371868,0.732471769
191.3573311,337.0170879,0.357331113,0.544025151
196.6152904,353.3937134,0.615290358,0.355578532
201.8732496,369.770339,0.873249604,0.167131914
207.1312088,386.1469645,0.131208849,0.978685296
212.3891681,402.5235901,0.389168094,0.790238677
217.6471273,418.9002156,0.64712734,0.601792059
222.9050866,435.2768412,0.905086585,0.413345441
228.1630458,451.6534667,0.16304583,0.224898823
233.4210051,468.0300923,0.421005076,0.036452204
238.6789643,484.4067179,0.678964321,0.848005586
243.9369236,500.7833434,0.936923567,0.659558968
249.1948828,517.159969,0.194882812,0.47111235
254.4528421,533.5365945,0.452842057,0.282665731
